date,equity,pos,tsmx
2024-11-27,100000.0,0,23.1095
2024-11-29,100000.0,0,24.0067
2024-12-02,100000.0,0,26.4627
2024-12-03,100000.0,0,27.7133
2024-12-04,100000.0,0,28.1483
2024-12-05,102358.96678553378,1,29.1452
2024-12-06,100926.75885231869,1,28.7374
2024-12-09,97298.47534127277,1,27.7043
2024-12-10,90264.22014402776,1,25.7014
2024-12-11,92715.26947357856,1,26.3993
2024-12-12,90105.12495183882,1,25.6561
2024-12-13,98985.3058226931,1,28.1846
2024-12-16,100449.47327575191,1,28.6015
2024-12-17,98444.10120643895,1,28.0305
2024-12-18,93606.27279053949,1,26.653
2024-12-19,92651.35043389117,1,26.3811
2024-12-20,94974.91288758197,1,27.0427
2024-12-23,104912.5675413962,1,29.8723
2024-12-24,103696.70097327686,1,29.5261
2024-12-26,100497.23695376006,1,28.6151
2024-12-27,98833.58590431427,1,28.1414
2024-12-30,97393.65149377432,1,27.7314
2024-12-31,94834.08027816088,1,27.0026
2025-01-02,98609.51806189366,1,28.0776
2025-01-03,105200.55442350419,1,29.9543
2025-01-06,116782.89513696685,1,33.2522
2025-01-07,107824.04467880502,1,30.7013
2025-01-08,103408.71409116886,1,29.4441
2025-01-10,104400.86402038237,1,29.7266
2025-01-13,97265.81341439956,1,27.695
2025-01-14,97393.65149377432,1,27.7314
2025-01-15,102704.90224757812,1,29.2437
2025-01-16,110319.69685473108,1,31.4119
2025-01-17,106928.47571615213,1,30.4463
2025-01-21,114159.40488166602,1,32.5052
2025-01-22,118606.69498914586,1,33.7715
2025-01-23,120142.50795921686,1,34.2088
2025-01-24,117166.76057860591,1,33.3615
2025-01-27,86355.32502468395,1,24.5884
2025-01-28,94706.24219878612,1,26.9662
2025-01-29,96791.52864964267,0,27.039
2025-01-30,96791.52864964267,0,28.5422
2025-01-31,96791.52864964267,0,28.8611
2025-02-03,96791.52864964267,0,26.2191
2025-02-04,96791.52864964267,0,27.3488
2025-02-05,96791.52864964267,0,28.4785
2025-02-06,96791.52864964267,0,29.0342
2025-02-07,96791.52864964267,0,27.8134
2025-02-10,96791.52864964267,0,28.2143
2025-02-11,96791.52864964267,0,28.5331
2025-02-12,96791.52864964267,0,27.8407
2025-02-13,96791.52864964267,0,26.6018
2025-02-14,96791.52864964267,0,27.1119
