pair,fast,slow,CAGR%,maxDD%,Sharpe,expo%,trades,win%,finalEq
SMA/SMA,5,20,76.4,-27.4,1.22,69.0,11,36.0,202828
SMA/SMA,5,30,135.5,-30.6,1.64,75.0,6,67.0,281233
SMA/SMA,5,40,142.1,-24.3,1.67,77.0,5,80.0,280501
SMA/SMA,5,50,93.3,-29.8,1.31,81.0,6,67.0,210326
SMA/SMA,5,75,141.9,-29.6,1.58,95.0,4,75.0,247105
SMA/SMA,5,100,193.7,-34.9,1.78,98.0,2,100.0,270200
SMA/SMA,10,20,183.4,-24.3,1.97,68.0,8,75.0,366109
SMA/SMA,10,30,152.7,-27.7,1.75,77.0,4,100.0,306241
SMA/SMA,10,40,138.2,-35.3,1.63,77.0,5,80.0,275149
SMA/SMA,10,50,94.2,-34.3,1.33,81.0,5,80.0,211443
SMA/SMA,10,75,120.7,-36.9,1.45,94.0,3,100.0,224938
SMA/SMA,10,100,185.4,-34.9,1.74,100.0,1,100.0,263147
SMA/SMA,15,20,128.3,-24.3,1.63,68.0,10,50.0,279682
SMA/SMA,15,30,137.3,-30.9,1.65,75.0,4,100.0,283855
SMA/SMA,15,40,130.6,-29.0,1.6,77.0,4,100.0,264986
SMA/SMA,15,50,100.2,-25.9,1.38,81.0,4,100.0,218757
SMA/SMA,15,75,145.7,-34.9,1.59,95.0,2,100.0,251025
SMA/SMA,15,100,185.4,-34.9,1.74,100.0,1,100.0,263147
SMA/SMA,20,30,137.7,-31.1,1.66,74.0,4,100.0,284490
SMA/SMA,20,40,98.4,-28.8,1.39,75.0,4,100.0,222285
SMA/SMA,20,50,76.1,-30.6,1.19,80.0,4,100.0,189317
SMA/SMA,20,75,151.7,-34.9,1.61,95.0,2,100.0,257315
SMA/SMA,20,100,185.4,-34.9,1.74,100.0,1,100.0,263147
SMA/SMA,30,40,68.9,-34.9,1.13,75.0,4,100.0,184249
SMA/SMA,30,50,109.7,-34.9,1.44,81.0,3,100.0,230589
SMA/SMA,30,75,140.0,-34.9,1.57,93.0,3,100.0,245049
SMA/SMA,30,100,185.4,-34.9,1.74,100.0,1,100.0,263147
SMA/WMA,5,20,87.5,-29.8,1.32,68.0,11,45.0,218801
SMA/WMA,5,30,129.8,-26.0,1.61,73.0,9,44.0,273009
SMA/WMA,5,40,150.5,-30.6,1.71,78.0,6,67.0,291845
SMA/WMA,5,50,111.0,-30.6,1.46,78.0,5,80.0,232212
SMA/WMA,5,75,93.6,-29.1,1.29,84.0,6,67.0,196696
SMA/WMA,5,100,84.6,-30.8,1.21,91.0,4,75.0,176076
SMA/WMA,10,20,132.2,-25.3,1.66,68.0,11,55.0,285674
SMA/WMA,10,30,149.0,-24.3,1.74,74.0,6,67.0,300842
SMA/WMA,10,40,141.7,-28.7,1.67,78.0,5,80.0,279856
SMA/WMA,10,50,98.4,-34.8,1.36,80.0,5,80.0,216535
SMA/WMA,10,75,110.7,-30.9,1.41,84.0,5,80.0,214531
SMA/WMA,10,100,124.0,-32.4,1.47,94.0,2,100.0,210436
SMA/WMA,15,20,46.4,-32.4,0.96,38.0,17,65.0,160815
SMA/WMA,15,30,203.5,-25.5,2.05,72.0,7,86.0,382015
SMA/WMA,15,40,149.7,-27.7,1.71,77.0,4,100.0,290710
SMA/WMA,15,50,140.7,-29.0,1.65,81.0,5,80.0,269339
SMA/WMA,15,75,109.7,-28.8,1.41,86.0,4,100.0,213487
SMA/WMA,15,100,104.8,-37.8,1.34,94.0,2,100.0,193781
SMA/WMA,20,30,141.0,-22.0,1.88,57.0,14,64.0,289199
SMA/WMA,20,40,106.1,-28.8,1.45,74.0,4,100.0,232449
SMA/WMA,20,50,83.1,-30.6,1.26,78.0,4,100.0,197878
SMA/WMA,20,75,110.4,-33.6,1.42,86.0,3,100.0,214190
SMA/WMA,20,100,115.4,-34.9,1.4,94.0,2,100.0,203019
SMA/WMA,30,40,46.9,-18.0,1.31,25.0,6,67.0,156585
SMA/WMA,30,50,107.7,-34.9,1.46,70.0,5,80.0,228107
SMA/WMA,30,75,132.3,-34.9,1.54,86.0,3,100.0,237045
SMA/WMA,30,100,142.6,-34.9,1.55,96.0,2,100.0,226499
WMA/SMA,5,20,123.9,-24.8,1.61,69.0,10,50.0,273013
WMA/SMA,5,30,163.6,-26.1,1.8,76.0,6,67.0,322328
WMA/SMA,5,40,151.4,-30.6,1.73,77.0,5,80.0,292999
WMA/SMA,5,50,110.6,-27.7,1.44,82.0,6,67.0,231673
WMA/SMA,5,75,122.2,-35.1,1.46,93.0,4,75.0,226509
WMA/SMA,5,100,179.1,-34.9,1.73,99.0,2,100.0,257824
WMA/SMA,10,20,146.5,-28.7,1.72,69.0,8,62.0,307684
WMA/SMA,10,30,154.0,-24.3,1.76,75.0,5,80.0,308169
WMA/SMA,10,40,132.9,-28.2,1.61,78.0,5,80.0,268112
WMA/SMA,10,50,100.5,-33.8,1.37,81.0,5,80.0,219225
WMA/SMA,10,75,132.1,-35.8,1.52,95.0,3,100.0,236872
WMA/SMA,10,100,185.4,-34.9,1.74,100.0,1,100.0,263147
WMA/SMA,15,20,141.8,-26.1,1.72,68.0,7,57.0,300410
WMA/SMA,15,30,147.3,-25.3,1.71,76.0,4,100.0,298439
WMA/SMA,15,40,112.9,-35.3,1.47,77.0,5,80.0,241428
WMA/SMA,15,50,91.3,-33.3,1.3,82.0,5,80.0,207917
